,Algorithm,SeedMovie,loginId,movieId,avgRating,popularityLastYear,ageCurDate
145,PredictedRating,32657,mIc3mNf,2351,4.10447,73.0,22296.0
146,PredictedRating,32657,mIc3mNf,57504,3.92183,310.0,3973.0
147,PredictedRating,32657,mIc3mNf,26903,3.97736,176.0,8222.0
148,PredictedRating,32657,mIc3mNf,26151,3.79296,45.0,17499.0
149,PredictedRating,32657,mIc3mNf,8125,3.97021,61.0,32989.0
150,PredictedRating,32657,mIc3mNf,4712,3.70427,2.0,17492.0
151,PredictedRating,32657,mIc3mNf,8199,3.93107,40.0,23143.0
152,PredictedRating,32657,mIc3mNf,668,4.1017,30.0,22790.0
153,PredictedRating,32657,mIc3mNf,25805,3.90725,24.0,25778.0
154,PredictedRating,32657,mIc3mNf,923,4.09025,731.0,28020.0
155,PredictedRating,32657,mIc3mNf,42422,3.63793,31.0,
157,PredictedRating,3788,mIc3mNf,26150,4.05017,112.0,17882.0
158,PredictedRating,3788,mIc3mNf,8154,3.92634,123.0,20727.0
160,PredictedRating,3788,mIc3mNf,7068,3.82921,51.0,20405.0
161,PredictedRating,3788,mIc3mNf,6987,3.89848,132.0,35368.0
162,PredictedRating,3788,mIc3mNf,4928,3.96378,40.0,14711.0
163,PredictedRating,3788,mIc3mNf,25954,3.98175,18.0,24794.0
165,PredictedRating,3788,mIc3mNf,8195,3.93021,54.0,20773.0
167,PredictedRating,3788,mIc3mNf,7135,3.93388,33.0,20267.0
168,PredictedRating,3788,mIc3mNf,26094,3.97685,30.0,20470.0
169,PredictedRating,4641,mIc3mNf,5902,3.83354,561.0,5521.0
171,PredictedRating,4641,mIc3mNf,778,4.00786,1970.0,7852.0
173,PredictedRating,4641,mIc3mNf,46976,3.79291,891.0,4086.0
174,PredictedRating,4641,mIc3mNf,46578,3.87729,1817.0,4380.0
175,PredictedRating,4641,mIc3mNf,40887,3.10656,4.0,4317.0
176,PredictedRating,4641,mIc3mNf,96821,3.85425,1259.0,1944.0
178,PredictedRating,4641,mIc3mNf,102194,3.66071,395.0,1727.0
179,PredictedRating,4641,mIc3mNf,1235,3.96345,200.0,16830.0
180,PredictedRating,4641,mIc3mNf,104944,3.97874,284.0,1608.0
196,PredictedRating,52328,mIc3mNf,7361,4.07645,3131.0,5052.0
